name,difficulty,likes,disslikes,isSolved
logical-or-of-two-binary-grids-represented-as-quad-trees,Medium,156,446,0
subarray-sum-equals-k,Medium,16471,486,0
array-partition,Easy,1325,189,0
longest-line-of-consecutive-one-in-matrix,Medium,819,106,0
find-the-closest-palindrome,Hard,571,1272,0
array-nesting,Medium,2009,148,0
permutation-in-string,Medium,7714,257,0
maximum-vacation-days,Hard,530,100,0
median-employee-salary,Hard,276,143,0
managers-with-at-least-5-direct-reports,Medium,276,39,0
find-median-given-frequency-of-numbers,Hard,261,71,0
squirrel-simulation,Medium,320,34,0
winning-candidate,Medium,146,401,0
out-of-boundary-paths,Medium,2878,227,0
employee-bonus,Easy,176,100,0
get-highest-answer-rate-question,Medium,100,873,0
find-cumulative-salary-of-an-employee,Hard,190,389,0
count-student-number-in-departments,Medium,217,35,0
shortest-unsorted-continuous-subarray,Medium,7026,245,0
kill-process,Medium,1020,19,0
delete-operation-for-two-strings,Medium,4699,71,0
find-customer-referee,Easy,750,253,0
investments-in-2016,Medium,218,234,0
customer-placing-the-largest-number-of-orders,Easy,557,33,0
erect-the-fence,Hard,1305,625,0
design-in-memory-file-system,Hard,1297,139,0
tag-validator,Hard,148,615,0
fraction-addition-and-subtraction,Medium,338,474,0
valid-square,Medium,837,833,0
longest-harmonious-subsequence,Easy,1788,166,0
big-countries,Easy,1473,1052,0
classes-more-than-5-students,Easy,610,977,0
friend-requests-i-overall-acceptance-rate,Easy,274,677,0
non-negative-integers-without-consecutive-ones,Hard,1232,118,0
human-traffic-of-stadium,Hard,453,521,0
friend-requests-ii-who-has-the-most-friends,Medium,275,76,0
consecutive-available-seats,Easy,545,52,0
design-compressed-string-iterator,Easy,394,138,0
can-place-flowers,Easy,3373,701,0
sales-person,Easy,671,66,0
tree-node,Medium,822,97,0
find-duplicate-file-in-system,Medium,1422,1600,0
triangle-judgement,Easy,227,58,0
valid-triangle-number,Medium,3119,175,0
shortest-distance-in-a-plane,Medium,193,65,0
shortest-distance-in-a-line,Easy,282,37,0
second-degree-follower,Medium,132,725,0
average-salary-departments-vs-company,Hard,201,67,0
add-bold-tag-in-string,Medium,962,172,0
students-report-by-geography,Hard,145,152,0
biggest-single-number,Easy,147,122,0
not-boring-movies,Easy,605,421,0
task-scheduler,Medium,7733,1521,0
design-circular-queue,Medium,2930,239,0
add-one-row-to-tree,Medium,2625,222,0
maximum-distance-in-arrays,Medium,611,62,0
minimum-factorization,Medium,121,106,0
exchange-seats,Medium,870,401,0
swap-salary,Easy,1331,542,0
maximum-product-of-three-numbers,Easy,3366,572,0
k-inverse-pairs-array,Hard,1865,215,0
course-schedule-iii,Hard,3358,88,0
design-excel-sum-formula,Hard,204,240,0
smallest-range-covering-elements-from-k-lists,Hard,2726,46,0
sum-of-square-numbers,Medium,1883,503,0
find-the-derangement-of-an-array,Medium,199,157,0
design-log-storage-system,Medium,447,189,0
exclusive-time-of-functions,Medium,1737,2552,0
shopping-offers,Medium,1205,686,0
decode-ways-ii,Hard,1301,780,0
solve-the-equation,Medium,405,760,0
design-circular-deque,Medium,917,67,0
design-search-autocomplete-system,Hard,1961,137,0
maximum-average-subarray-i,Easy,2067,173,0
maximum-average-subarray-ii,Hard,570,64,0
set-mismatch,Easy,3367,781,0
maximum-length-of-pair-chain,Medium,2732,109,0
palindromic-substrings,Medium,8437,182,0
replace-words,Medium,1832,162,0
dota2-senate,Medium,488,343,0
2-keys-keyboard,Medium,2941,179,0
4-keys-keyboard,Medium,548,78,0
find-duplicate-subtrees,Medium,3880,330,0
maximum-binary-tree,Medium,4366,311,0
print-binary-tree,Medium,308,332,0
coin-path,Hard,231,105,0
find-k-closest-elements,Medium,6455,525,0
remove-9,Hard,151,196,0
maximum-width-of-binary-tree,Medium,5992,838,0
equal-tree-partition,Medium,445,35,0
strange-printer,Hard,997,92,0
non-decreasing-array,Medium,5160,743,0
path-sum-iv,Medium,315,401,0
beautiful-arrangement-ii,Medium,718,1003,0
kth-smallest-number-in-multiplication-table,Hard,1825,51,0
trim-a-binary-search-tree,Medium,5191,246,0
maximum-swap,Medium,2840,164,0
bulb-switcher-ii,Medium,71,126,0
number-of-longest-increasing-subsequence,Medium,4431,198,0
longest-continuous-increasing-subsequence,Easy,1967,168,0
cut-off-trees-for-golf-event,Hard,1039,618,0
implement-magic-dictionary,Medium,1188,191,0
map-sum-pairs,Medium,1411,138,0
valid-parenthesis-string,Medium,4033,97,0
24-game,Hard,1314,231,0
next-closest-time,Medium,685,1016,0
baseball-game,Easy,2014,1734,0
k-empty-slots,Hard,760,675,0
redundant-connection,Medium,4781,331,0
redundant-connection-ii,Hard,1919,288,0
repeated-string-match,Medium,1851,926,0
longest-univalue-path,Medium,3627,641,0
knight-probability-in-chessboard,Medium,2333,324,0
maximum-sum-of-3-non-overlapping-subarrays,Hard,1754,100,0
employee-importance,Medium,1820,1285,0
stickers-to-spell-word,Hard,916,76,0
top-k-frequent-words,Medium,6534,305,0
number-of-distinct-islands,Medium,2001,125,0
max-area-of-island,Medium,8342,184,0
count-binary-substrings,Easy,3408,736,0
partition-to-k-equal-sum-subsets,Medium,5936,407,0
falling-squares,Hard,529,72,0
search-in-a-sorted-array-of-unknown-size,Medium,816,42,0
design-linked-list,Medium,1924,1345,0
insert-into-a-sorted-circular-linked-list,Medium,1025,677,0
random-pick-with-blacklist,Hard,739,100,0
number-of-distinct-islands-ii,Hard,231,233,0
minimum-ascii-delete-sum-for-two-strings,Medium,2311,68,0
subarray-product-less-than-k,Medium,4866,157,0
best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,4851,119,0
range-module,Hard,1187,93,0
max-stack,Hard,1765,490,0
maximum-length-of-repeated-subarray,Medium,5853,148,0
find-k-th-smallest-pair-distance,Hard,2441,76,0
longest-word-in-dictionary,Medium,1626,1402,0
accounts-merge,Medium,5091,879,0
remove-comments,Medium,626,1641,0
candy-crush,Medium,889,430,0
split-linked-list-in-parts,Medium,2200,215,0
number-of-atoms,Hard,1085,270,0
minimum-window-subsequence,Hard,1327,81,0
count-different-palindromic-subsequences,Hard,1614,85,0
my-calendar-ii,Medium,1487,136,0
my-calendar-iii,Hard,1759,248,0
flood-fill,Easy,6126,588,0
sentence-similarity,Easy,307,479,0
asteroid-collision,Medium,4432,383,0
parse-lisp-expression,Hard,420,324,0
sentence-similarity-ii,Medium,770,43,0
monotone-increasing-digits,Medium,1096,92,0
daily-temperatures,Medium,8757,203,0
delete-and-earn,Medium,5908,313,0
cherry-pickup,Hard,3360,132,0
closest-leaf-in-a-binary-tree,Medium,802,161,0
network-delay-time,Medium,5827,325,0
find-smallest-letter-greater-than-target,Easy,2442,1927,0
